ID,GeneName,Community
1621,CRYZL1,6
1632,CSNK1D,6
1636,CSNK1G3,6
1648,CSTF1,6
1649,CSTF2,6
1650,CSTF2T,6
1653,CTBP2,6
1654,CTCF,6
1658,CTDSP1,6
1661,CTDSPL2,6
1669,CTNNBL1,6
1672,CTPS2,6
1677,CTSD,6
1690,CTXN1,6
1695,CUL3,6
1697,CUL4B,6
1703,CUX1,6
1707,CWC27,6
1708,CWF19L1,6
1724,CXXC1,6
1727,CXorf56,6
1731,CYB5B,6
1737,CYBC1,6
1742,CYFIP2,6
1745,CYP20A1,6
1753,CYTH1,6
1756,CYYR1,6
1757,CZIB,6
1775,DBF4,6
1777,DBN1,6
1784,DCAF11,6
1788,DCAF16,6
1789,DCAF17,6
1790,DCAF4,6
1791,DCAF5,6
1793,DCAF7,6
1800,DCLRE1A,6
1804,DCP1B,6
1808,DCTN3,6
1809,DCTN4,6
1810,DCTN5,6
1813,DCUN1D1,6
1815,DCUN1D4,6
1816,DCXR,6
1817,DDA1,6
1832,DDX18,6
1833,DDX20,6
1836,DDX24,6
1838,DDX28,6
1841,DDX3X,6
1843,DDX42,6
1847,DDX50,6
1854,DDX6,6
1866,DELE1,6
1869,DENND1C,6
1893,DGLUCY,6
1896,DHCR7,6
1898,DHFR,6
1901,DHRS4,6
1902,DHRS4L2,6
1908,DHX29,6
1913,DHX35,6
1916,DHX38,6
1917,DHX40,6
1923,DICER1,6
1924,DIDO1,6
1927,DIPK1B,6
1939,DMAC1,6
1944,DMTF1,6
1947,DNAAF2,6
1949,DNAJA1,6
1950,DNAJA2,6
1953,DNAJB11,6
1958,DNAJB6,6
1965,DNAJC19,6
1966,DNAJC2,6
1987,DOC2B,6
1995,DOLK,6
1996,DOLPP1,6
1998,DOP1B,6
1999,DPAGT1,6
2006,DPH7,6
2015,DPY19L3,6
2034,DSTYK,6
2039,DTX3,6
2044,DUS3L,6
2048,DUSP12,6
2054,DUSP3,6
2062,DVL3,6
2064,DYM,6
2065,DYNC1H1,6
2066,DYNC1I2,6
2068,DYNC1LI2,6
2069,DYNC2I1,6
2073,DYNLL2,6
2076,DYNLT3,6
2082,E2F4,6
2088,EAPP,6
2089,EARS2,6
2095,ECD,6
2097,ECEL1,6
2104,ECI2,6
2107,ECRG4,6
2110,EDC3,6
2111,EDC4,6
2117,EDN2,6
2119,EED,6
2121,EEF1AKMT1,6
2124,EEF1AKNMT,6
2138,EFNA3,6
2142,EFNB2,6
2162,EHHADH,6
2165,EID1,6
2169,EIF1AX,6
2177,EIF2B2,6
2180,EIF2B5,6
2182,EIF2S1,6
2184,EIF2S3,6
2194,EIF3J,6
2198,EIF4A2,6
2199,EIF4A3,6
2203,EIF4EBP2,6
2209,EIF4H,6
2210,EIF5,6
2217,ELAVL1,6
2222,ELK1,6
2226,ELMO2,6
2238,ELP2,6
2239,ELP3,6
2249,EMC8,6
2250,EMC9,6
2261,EMX2,6
2263,ENC1,6
2267,ENKD1,6
2274,ENTPD2,6
2278,ENY2,6
2279,EOLA2,6
2287,EPC2,6
2300,EPM2AIP1,6
2304,EPOR,6
2308,EPS15L1,6
2324,ERF,6
2325,ERG28,6
2329,ERH,6
2343,ESCO1,6
2349,ESR1,6
2351,ESRP2,6
2360,ETNK2,6
2363,ETV3,6
2365,ETV5,6
2372,EVI5L,6
2373,EVL,6
2376,EXD2,6
2382,EXOC5,6
2384,EXOC8,6
2390,EXOSC6,6
2392,EXOSC8,6
2408,F8A1,6
2411,FAAP100,6
2418,FADD,6
2430,FAM104B,6
2435,FAM110C,6
2439,FAM117A,6
2440,FAM117B,6
2443,FAM120AOS,6
2446,FAM122B,6
2449,FAM13B,6
2451,FAM160B1,6
2455,FAM168A,6
2456,FAM168B,6
2457,FAM171A1,6
2458,FAM171A2,6
2459,FAM172A,6
2463,FAM177A1,6
2464,FAM181A,6
2469,FAM199X,6
2470,FAM200A,6
2477,FAM217B,6
2484,FAM32A,6
2504,FANCF,6
2509,FARSB,6
2514,FASTKD2,6
2515,FASTKD3,6
2519,FAXDC2,6
2524,FBLN2,6
2525,FBLN5,6
2526,FBN3,6
2528,FBRS,6
2529,FBRSL1,6
2530,FBXL12,6
2531,FBXL14,6
2536,FBXL4,6
2545,FBXO28,6
2547,FBXO33,6
2548,FBXO34,6
2559,FBXW11,6
2560,FBXW2,6
2563,FBXW8,6
2566,FCF1,6
2581,FERMT2,6
2588,FGFR1,6
2589,FGFR1OP2,6
2598,FHOD1,6
2604,FIZ1,6
2610,FKBP3,6
2624,FLVCR1,6
2626,FLYWCH2,6
2632,FMR1,6
2658,FOXK2,6
2661,FOXN3,6
2663,FOXO3,6
2664,FOXO4,6
2666,FOXP4,6
2686,FTSJ1,6
2687,FTSJ3,6
2689,FUBP3,6
2696,FUS,6
2699,FUT8,6
2701,FXR1,6
2703,FXYD5,6
2708,FZD10,6
2711,FZD4,6
2719,G3BP1,6
2727,GABPA,6
2738,GALC,6
2745,GALNT11,6
2748,GALNT17,6
2758,GARRE1,6
2766,GATAD1,6
2767,GATAD2A,6
2772,GBA2,6
2779,GCA,6
2781,GCC1,6
2784,GCLC,6
2787,GDE1,6
2788,GDF11,6
2793,GEMIN5,6
2798,GFM2,6
2803,GGA2,6
2814,GID8,6
2816,GIGYF2,6
2833,GLCE,6
2836,GLG1,6
2838,GLIPR2,6
2844,GLRX5,6
2851,GLYR1,6
2856,GMEB2,6
2864,GMPR2,6
2872,GNAS,6
2874,GNB2,6
2882,GNL3L,6
2885,GNPDA1,6
2886,GNPNAT1,6
2894,GOLGA5,6
2910,GOSR1,6
2912,GOT2,6
2916,GPATCH1,6
2919,GPATCH8,6
2920,GPBP1,6
2923,GPC3,6
2924,GPC4,6
2925,GPCPD1,6
2927,GPD2,6
2943,GPR173,6
2950,GPS1,6
2951,GPSM1,6
2953,GPT2,6
2963,GRB10,6
2968,GRHPR,6
2969,GRIK5,6
2980,GSE1,6
2983,GSKIP,6
2985,GSPT1,6
2986,GSPT2,6
2990,GSTA4,6
2992,GSTM1,6
2993,GSTM3,6
2998,GTF2A1,6
3000,GTF2B,6
3003,GTF2F1,6
3004,GTF2F2,6
3007,GTF2I,6
3010,GTF3C1,6
3012,GTF3C3,6
3013,GTF3C4,6
3014,GTF3C5,6
3018,GTPBP3,6
3033,GZF1,6
3052,H3-3A,6
3067,HARS1,6
3072,HAUS4,6
3091,HDAC3,6
3093,HDAC6,6
3101,HEATR1,6
3103,HEATR6,6
3107,HECTD1,6
3121,HEXD,6
3125,HGS,6
3131,HIF1AN,6
3135,HIKESHI,6
3139,HIP1,6
3142,HIPK2,6
3144,HIRIP3,6
3171,HMG20A,6
3175,HMGB1,6
3177,HMGB3,6
3179,HMGCR,6
3181,HMGN1,6
3192,HNRNPA0,6
3193,HNRNPA1,6
3197,HNRNPAB,6
3198,HNRNPC,6
3203,HNRNPH2,6
3204,HNRNPH3,6
3207,HNRNPLL,6
3210,HNRNPU,6
3221,HOXB7,6
3232,HPDL,6
3236,HPRT1,6
3246,HSBP1,6
3257,HSDL1,6
3262,HSP90AA1,6
3263,HSP90AB1,6
3265,HSPA13,6
3269,HSPA2,6
3282,HSPH1,6
3284,HTATSF1,6
3292,HUWE1,6
3303,ICE1,6
3316,IER2,6
3320,IER5L,6
3323,IFI27L2,6
3345,IFT22,6
3346,IFT43,6
3348,IFT52,6
3350,IGBP1,6
3351,IGF1R,6
3353,IGF2BP2,6
3363,IGSF8,6
3364,IGSF9,6
3369,IKZF5,6
3377,IL18,6
3394,ILKAP,6
3412,ING2,6
3416,INIP,6
3417,INO80,6
3422,INPPL1,6
3425,INSR,6
3432,INTS4,6
3434,INTS7,6
3442,IPO8,6
3448,IQCK,6
3449,IQCN,6
3452,IQSEC1,6
3455,IREB2,6
3458,IRF2BP1,6
3459,IRF2BP2,6
3460,IRF2BPL,6
3465,IRS1,6
3469,ISCA2,6
3472,ISG20L2,6
3474,ISOC1,6
3476,IST1,6
3478,ISYNA1,6
3480,ITFG1,6
3484,ITGA6,6
3499,ITPK1,6
3512,JADE3,6
3518,JARID2,6
3523,JKAMP,6
3534,JUND,6
3539,KANSL3,6
3541,KAT14,6
3547,KAT8,6
3549,KATNB1,6
3556,KCNH2,6
