id,label,community
AARS1,AARS1,4
AASDHPPT,AASDHPPT,4
ACTB,ACTB,4
ACVR1,ACVR1,4
ADAM12,ADAM12,4
ADAM8,ADAM8,4
ADAMTS12,ADAMTS12,4
ADAMTS2,ADAMTS2,4
ADAP2,ADAP2,4
ADM,ADM,4
AEBP1,AEBP1,4
AGFG1,AGFG1,4
AGL,AGL,4
AKR1C1,AKR1C1,4
AKT3,AKT3,4
ALDH1B1,ALDH1B1,4
ALOX5AP,ALOX5AP,4
ANKH,ANKH,4
ANTXR1,ANTXR1,4
ANXA5,ANXA5,4
APLN,APLN,4
ARHGAP18,ARHGAP18,4
ARPC2,ARPC2,4
ASH2L,ASH2L,4
ASPN,ASPN,4
ATG5,ATG5,4
ATP13A3,ATP13A3,4
ATPSCKMT,ATPSCKMT,4
AXL,AXL,4
B3GNT9,B3GNT9,4
BAG4,BAG4,4
BGN,BGN,4
BPNT2,BPNT2,4
BRI3,BRI3,4
C11orf24,C11orf24,4
C1QTNF3,C1QTNF3,4
C1QTNF6,C1QTNF6,4
C2orf69,C2orf69,4
C3AR1,C3AR1,4
C5AR1,C5AR1,4
C5orf38,C5orf38,4
C6orf141,C6orf141,4
CADM1,CADM1,4
CALD1,CALD1,4
CAMK2N1,CAMK2N1,4
CARM1,CARM1,4
CASP14,CASP14,4
CCDC127,CCDC127,4
CCN4,CCN4,4
CCR1,CCR1,4
CD24,CD24,4
CD276,CD276,4
CD300A,CD300A,4
CD55,CD55,4
CD86,CD86,4
CDH11,CDH11,4
CEMIP,CEMIP,4
CEMIP2,CEMIP2,4
CERCAM,CERCAM,4
CHST11,CHST11,4
CILP,CILP,4
CILP2,CILP2,4
CLEC2B,CLEC2B,4
CLIC4,CLIC4,4
CLPTM1L,CLPTM1L,4
CMTM3,CMTM3,4
COL10A1,COL10A1,4
COL11A1,COL11A1,4
COL12A1,COL12A1,4
COL15A1,COL15A1,4
COL1A1,COL1A1,4
COL1A2,COL1A2,4
COL3A1,COL3A1,4
COL4A1,COL4A1,4
COL5A1,COL5A1,4
COL5A2,COL5A2,4
COL5A3,COL5A3,4
COL6A1,COL6A1,4
COL6A2,COL6A2,4
COL6A3,COL6A3,4
COL8A1,COL8A1,4
COL8A2,COL8A2,4
COLGALT1,COLGALT1,4
COMP,COMP,4
COPS8,COPS8,4
CORO1C,CORO1C,4
CRABP1,CRABP1,4
CRISP3,CRISP3,4
CSGALNACT2,CSGALNACT2,4
CSTB,CSTB,4
CTHRC1,CTHRC1,4
CTSB,CTSB,4
CTSK,CTSK,4
CTSL,CTSL,4
CYTH3,CYTH3,4
DAB2,DAB2,4
DACT1,DACT1,4
DDHD2,DDHD2,4
DNAJC10,DNAJC10,4
DPY19L1,DPY19L1,4
DPYSL3,DPYSL3,4
DYNLT3,DYNLT3,4
EDIL3,EDIL3,4
EDNRA,EDNRA,4
EFEMP2,EFEMP2,4
EGLN3,EGLN3,4
EIF2S2,EIF2S2,4
EIF4EBP1,EIF4EBP1,4
EMP3,EMP3,4
ENO1,ENO1,4
ENO2,ENO2,4
ENPP1,ENPP1,4
EPRS1,EPRS1,4
EPYC,EPYC,4
ERLIN2,ERLIN2,4
ERO1A,ERO1A,4
F13A1,F13A1,4
F2R,F2R,4
FAM177A1,FAM177A1,4
FAP,FAP,4
FBN1,FBN1,4
FBXL7,FBXL7,4
FCER1G,FCER1G,4
FCGR2A,FCGR2A,4
FCGR3A,FCGR3A,4
FCHSD2,FCHSD2,4
FDX1,FDX1,4
FHL3,FHL3,4
FIBIN,FIBIN,4
FKBP9,FKBP9,4
FLT1,FLT1,4
FN1,FN1,4
FNDC1,FNDC1,4
FNDC3B,FNDC3B,4
FPR3,FPR3,4
FSCN1,FSCN1,4
FST,FST,4
FSTL3,FSTL3,4
FTH1,FTH1,4
FTL,FTL,4
FUT11,FUT11,4
GAL3ST4,GAL3ST4,4
GALNT1,GALNT1,4
GARS1,GARS1,4
GBP4,GBP4,4
GCH1,GCH1,4
GCLM,GCLM,4
GJA5,GJA5,4
GJB2,GJB2,4
GLIS2,GLIS2,4
GLT8D2,GLT8D2,4
GOLGA7,GOLGA7,4
GOLIM4,GOLIM4,4
GORASP2,GORASP2,4
GPC1,GPC1,4
GPI,GPI,4
GPNMB,GPNMB,4
GPR137B,GPR137B,4
GPR68,GPR68,4
GREM1,GREM1,4
GRIK3,GRIK3,4
GXYLT2,GXYLT2,4
HAVCR2,HAVCR2,4
HEG1,HEG1,4
HEPH,HEPH,4
HEXB,HEXB,4
HEYL,HEYL,4
HILPDA,HILPDA,4
HK2,HK2,4
HMOX1,HMOX1,4
HSPA13,HSPA13,4
HSPG2,HSPG2,4
HTRA1,HTRA1,4
IGFBP7,IGFBP7,4
IKBIP,IKBIP,4
ILVBL,ILVBL,4
INHBA,INHBA,4
IRAG1,IRAG1,4
ITGA11,ITGA11,4
ITGA5,ITGA5,4
ITGAV,ITGAV,4
ITGAX,ITGAX,4
ITGB5,ITGB5,4
ITGBL1,ITGBL1,4
JAZF1,JAZF1,4
JCAD,JCAD,4
KDELR2,KDELR2,4
KDELR3,KDELR3,4
KDSR,KDSR,4
KRT80,KRT80,4
LAMA4,LAMA4,4
LAMB1,LAMB1,4
LATS2,LATS2,4
LDHA,LDHA,4
LHFPL2,LHFPL2,4
LIMS1,LIMS1,4
LNPK,LNPK,4
LOX,LOX,4
LOXL1,LOXL1,4
LOXL2,LOXL2,4
LPCAT1,LPCAT1,4
LRRC15,LRRC15,4
LRRC25,LRRC25,4
LRRC32,LRRC32,4
LSM1,LSM1,4
LUM,LUM,4
LY86,LY86,4
LYST,LYST,4
MAIP1,MAIP1,4
MANEA,MANEA,4
MAP1A,MAP1A,4
MARCKS,MARCKS,4
MARVELD1,MARVELD1,4
MED10,MED10,4
MFAP2,MFAP2,4
MICAL2,MICAL2,4
MMP11,MMP11,4
MMP13,MMP13,4
