id,label,community
ACER3,ACER3,6
ACTG1,ACTG1,6
ADAM15,ADAM15,6
ADAR,ADAR,6
ADIPOR1,ADIPOR1,6
AK2,AK2,6
AK4,AK4,6
AKIRIN1,AKIRIN1,6
ALAS1,ALAS1,6
AOX1,AOX1,6
AP1S2,AP1S2,6
AP2B1,AP2B1,6
APH1A,APH1A,6
APOC1,APOC1,6
APOL1,APOL1,6
AQP5,AQP5,6
ARHGDIA,ARHGDIA,6
ARHGDIB,ARHGDIB,6
ASPH,ASPH,6
ATP5PB,ATP5PB,6
B2M,B2M,6
BCL9,BCL9,6
BID,BID,6
BLNK,BLNK,6
BSDC1,BSDC1,6
BST2,BST2,6
C1QB,C1QB,6
C1orf216,C1orf216,6
CADPS2,CADPS2,6
CANT1,CANT1,6
CAP1,CAP1,6
CASC3,CASC3,6
CASP6,CASP6,6
CDC6,CDC6,6
CDCP1,CDCP1,6
CDK2AP1,CDK2AP1,6
CISD3,CISD3,6
CISH,CISH,6
CLDN1,CLDN1,6
CNIH1,CNIH1,6
COPA,COPA,6
COPG1,COPG1,6
CORO2A,CORO2A,6
CP,CP,6
CPT1A,CPT1A,6
CPVL,CPVL,6
CRABP2,CRABP2,6
CREB3L4,CREB3L4,6
CSF3R,CSF3R,6
CSRNP2,CSRNP2,6
CSTF3,CSTF3,6
CTSD,CTSD,6
CWC25,CWC25,6
CYB561,CYB561,6
CYFIP1,CYFIP1,6
CYP4Z1,CYP4Z1,6
DDIT4,DDIT4,6
DDX52,DDX52,6
DEDD,DEDD,6
DENND2D,DENND2D,6
DHX58,DHX58,6
DNAAF5,DNAAF5,6
DNAJC22,DNAJC22,6
DNALI1,DNALI1,6
DOCK8,DOCK8,6
DOP1B,DOP1B,6
DPAGT1,DPAGT1,6
DPH2,DPH2,6
DPP3,DPP3,6
DRAM2,DRAM2,6
DUSP14,DUSP14,6
EBNA1BP2,EBNA1BP2,6
EDN2,EDN2,6
EIF2B3,EIF2B3,6
EIF2D,EIF2D,6
EIF3I,EIF3I,6
ELF3,ELF3,6
ELOVL1,ELOVL1,6
EMB,EMB,6
ENTPD6,ENTPD6,6
EPHB3,EPHB3,6
EPN3,EPN3,6
EPOP,EPOP,6
ERAL1,ERAL1,6
ERBB2,ERBB2,6
ETNK2,ETNK2,6
F11R,F11R,6
FADS2,FADS2,6
FAM189B,FAM189B,6
FAM222B,FAM222B,6
FAT1,FAT1,6
FBXL20,FBXL20,6
FHOD1,FHOD1,6
FLAD1,FLAD1,6
FLOT2,FLOT2,6
FOXK2,FOXK2,6
FRMD8,FRMD8,6
FTSJ3,FTSJ3,6
GBP2,GBP2,6
GGNBP2,GGNBP2,6
GIT1,GIT1,6
GLRX,GLRX,6
GMDS,GMDS,6
GMEB1,GMEB1,6
GOLM1,GOLM1,6
GPATCH4,GPATCH4,6
GRB7,GRB7,6
GSTCD,GSTCD,6
GYG1,GYG1,6
HAX1,HAX1,6
HDAC1,HDAC1,6
HDGF,HDGF,6
HDLBP,HDLBP,6
HECTD3,HECTD3,6
HERC6,HERC6,6
HLA-A,HLA-A,6
HLA-B,HLA-B,6
HLA-DQA2,HLA-DQA2,6
HLA-F,HLA-F,6
HNRNPF,HNRNPF,6
HPX,HPX,6
ICAM1,ICAM1,6
ID2,ID2,6
IDH2,IDH2,6
IFI16,IFI16,6
IFITM3,IFITM3,6
IFT20,IFT20,6
IGSF9,IGSF9,6
IL6R,IL6R,6
INTS3,INTS3,6
IPO9,IPO9,6
IRF1,IRF1,6
ISG15,ISG15,6
ISG20L2,ISG20L2,6
ITGB6,ITGB6,6
JPT1,JPT1,6
KDM5B,KDM5B,6
KIAA0100,KIAA0100,6
KLHL12,KLHL12,6
KRT10,KRT10,6
KRT19,KRT19,6
KRT23,KRT23,6
KRT8,KRT8,6
KTN1,KTN1,6
LAD1,LAD1,6
LASP1,LASP1,6
LGALS3BP,LGALS3BP,6
LGALS9,LGALS9,6
LIG3,LIG3,6
LMNB2,LMNB2,6
LMO4,LMO4,6
LRG1,LRG1,6
LRRC41,LRRC41,6
LRRC59,LRRC59,6
LTF,LTF,6
MAP2K3,MAP2K3,6
MAPKAPK3,MAPKAPK3,6
MARCKSL1,MARCKSL1,6
MCM3AP,MCM3AP,6
MCUB,MCUB,6
MED24,MED24,6
MED8,MED8,6
MFSD2A,MFSD2A,6
MGAT4A,MGAT4A,6
MLLT6,MLLT6,6
MME,MME,6
MORC2,MORC2,6
MOV10,MOV10,6
MPHOSPH6,MPHOSPH6,6
MRPL45,MRPL45,6
MRPS15,MRPS15,6
MRPS23,MRPS23,6
MSL1,MSL1,6
MST1R,MST1R,6
MSTO1,MSTO1,6
MUC1,MUC1,6
MX1,MX1,6
MYCBP,MYCBP,6
MYO18A,MYO18A,6
MYORG,MYORG,6
NAGA,NAGA,6
NANOS1,NANOS1,6
NCSTN,NCSTN,6
NDUFS2,NDUFS2,6
NECTIN1,NECTIN1,6
NECTIN4,NECTIN4,6
NIPSNAP1,NIPSNAP1,6
NLE1,NLE1,6
NME1,NME1,6
NUFIP2,NUFIP2,6
OAS1,OAS1,6
OAT,OAT,6
OBP2B,OBP2B,6
OSBPL5,OSBPL5,6
P4HB,P4HB,6
PABPC4,PABPC4,6
PARP9,PARP9,6
PBX1,PBX1,6
PCGF2,PCGF2,6
PDE4B,PDE4B,6
PDE4DIP,PDE4DIP,6
PDIA3,PDIA3,6
PDXK,PDXK,6
PEF1,PEF1,6
PEX12,PEX12,6
PGAP3,PGAP3,6
PGAP6,PGAP6,6
PHF12,PHF12,6
PHLDA2,PHLDA2,6
