id,label,community
AASS,AASS,1
ABCA1,ABCA1,1
ABCD1,ABCD1,1
ABHD15,ABHD15,1
ABHD5,ABHD5,1
ACAA2,ACAA2,1
ACACB,ACACB,1
ACADS,ACADS,1
ACO1,ACO1,1
ACO2,ACO2,1
ACOT1,ACOT1,1
ACOT2,ACOT2,1
ACSL1,ACSL1,1
ACSL4,ACSL4,1
ACSS2,ACSS2,1
ADGRF5,ADGRF5,1
ADGRL4,ADGRL4,1
ADH1B,ADH1B,1
ADH1C,ADH1C,1
ADH5,ADH5,1
ADIPOQ,ADIPOQ,1
ADRA2A,ADRA2A,1
ADRB2,ADRB2,1
AFAP1L1,AFAP1L1,1
AGPAT2,AGPAT2,1
AIFM2,AIFM2,1
AKAP12,AKAP12,1
ALDH2,ALDH2,1
ALDH6A1,ALDH6A1,1
ALDOC,ALDOC,1
ANGPTL4,ANGPTL4,1
ANO6,ANO6,1
ANTXR2,ANTXR2,1
ANXA6,ANXA6,1
AOC3,AOC3,1
APBB1IP,APBB1IP,1
APCDD1,APCDD1,1
APMAP,APMAP,1
APOE,APOE,1
APOL3,APOL3,1
APOL4,APOL4,1
APOLD1,APOLD1,1
AQP7,AQP7,1
ARPC5,ARPC5,1
ASS1,ASS1,1
ATP1A2,ATP1A2,1
ATP5ME,ATP5ME,1
AVPI1,AVPI1,1
BCKDHB,BCKDHB,1
BIN1,BIN1,1
BNIP3,BNIP3,1
BNIP3L,BNIP3L,1
BOK,BOK,1
BTG1,BTG1,1
BTNL9,BTNL9,1
C19orf12,C19orf12,1
C1QTNF1,C1QTNF1,1
C20orf27,C20orf27,1
C2CD2,C2CD2,1
C7,C7,1
CA3,CA3,1
CALB2,CALB2,1
CALCRL,CALCRL,1
CAT,CAT,1
CAV1,CAV1,1
CAV2,CAV2,1
CAVIN2,CAVIN2,1
CCDC50,CCDC50,1
CCDC69,CCDC69,1
CCDC92,CCDC92,1
CD300LG,CD300LG,1
CD36,CD36,1
CD99L2,CD99L2,1
CDKN1C,CDKN1C,1
CDKN2B,CDKN2B,1
CDKN2C,CDKN2C,1
CDO1,CDO1,1
CEBPA,CEBPA,1
CELF2,CELF2,1
CFL2,CFL2,1
CHCHD10,CHCHD10,1
CHP1,CHP1,1
CIDEA,CIDEA,1
