id,label,community
AASS,AASS,14
ABCA1,ABCA1,14
ABCD1,ABCD1,14
ABHD15,ABHD15,14
ABHD5,ABHD5,14
ACAA2,ACAA2,14
ACACB,ACACB,14
ACADS,ACADS,14
ACO1,ACO1,14
ACO2,ACO2,14
ACOT1,ACOT1,14
ACOT2,ACOT2,14
ACSL1,ACSL1,14
ACSL4,ACSL4,14
ACSS2,ACSS2,14
ADGRF5,ADGRF5,14
ADGRL4,ADGRL4,14
ADH1B,ADH1B,14
ADH1C,ADH1C,14
ADH5,ADH5,14
ADIPOQ,ADIPOQ,14
ADRA2A,ADRA2A,14
ADRB2,ADRB2,14
AFAP1L1,AFAP1L1,14
AGPAT2,AGPAT2,14
AIFM2,AIFM2,14
AKAP12,AKAP12,14
ALDH2,ALDH2,14
ALDH6A1,ALDH6A1,14
ALDOC,ALDOC,14
ANGPTL4,ANGPTL4,14
ANO6,ANO6,14
ANTXR2,ANTXR2,14
ANXA6,ANXA6,14
AOC3,AOC3,14
APBB1IP,APBB1IP,14
APCDD1,APCDD1,14
APMAP,APMAP,14
APOE,APOE,14
APOL3,APOL3,14
APOL4,APOL4,14
APOLD1,APOLD1,14
AQP7,AQP7,14
ARPC5,ARPC5,14
ASS1,ASS1,14
ATP1A2,ATP1A2,14
ATP5ME,ATP5ME,14
AVPI1,AVPI1,14
BCKDHB,BCKDHB,14
BIN1,BIN1,14
BNIP3,BNIP3,14
BNIP3L,BNIP3L,14
BOK,BOK,14
BTG1,BTG1,14
BTNL9,BTNL9,14
C19orf12,C19orf12,14
C1QTNF1,C1QTNF1,14
C20orf27,C20orf27,14
C2CD2,C2CD2,14
C7,C7,14
CA3,CA3,14
CALB2,CALB2,14
CALCRL,CALCRL,14
CAST,CAST,14
CAT,CAT,14
CAV1,CAV1,14
CAV2,CAV2,14
CAVIN2,CAVIN2,14
CCDC50,CCDC50,14
CCDC69,CCDC69,14
CCDC92,CCDC92,14
CD300LG,CD300LG,14
CD36,CD36,14
CD99L2,CD99L2,14
CDKN1C,CDKN1C,14
CDKN2B,CDKN2B,14
CDKN2C,CDKN2C,14
CDO1,CDO1,14
CEBPA,CEBPA,14
CELF2,CELF2,14
CFL2,CFL2,14
CHCHD10,CHCHD10,14
CHP1,CHP1,14
CIDEA,CIDEA,14
CIDEC,CIDEC,14
CKB,CKB,14
CLIP4,CLIP4,14
CLMP,CLMP,14
CLUH,CLUH,14
CNRIP1,CNRIP1,14
CNTFR,CNTFR,14
COL4A2,COL4A2,14
COX7A1,COX7A1,14
CPM,CPM,14
CS,CS,14
CSPG4,CSPG4,14
CSTA,CSTA,14
CTIF,CTIF,14
CYB5A,CYB5A,14
CYGB,CYGB,14
CYP4B1,CYP4B1,14
DEPP1,DEPP1,14
DGAT1,DGAT1,14
DGAT2,DGAT2,14
DHRS3,DHRS3,14
DIP2C,DIP2C,14
DLST,DLST,14
DOCK11,DOCK11,14
DTX1,DTX1,14
DUSP1,DUSP1,14
EBF1,EBF1,14
ECHDC1,ECHDC1,14
ECHDC3,ECHDC3,14
ECHS1,ECHS1,14
EDNRB,EDNRB,14
EEF2,EEF2,14
EFNB1,EFNB1,14
EHD2,EHD2,14
EIF4EBP2,EIF4EBP2,14
ELMOD3,ELMOD3,14
ELOA,ELOA,14
EMC3,EMC3,14
EPAS1,EPAS1,14
EPB41L3,EPB41L3,14
EPB41L4B,EPB41L4B,14
ESYT1,ESYT1,14
ETFA,ETFA,14
ETFDH,ETFDH,14
FABP4,FABP4,14
FABP5,FABP5,14
FADS3,FADS3,14
FAM89A,FAM89A,14
FANCE,FANCE,14
FASN,FASN,14
FBLN2,FBLN2,14
FERMT2,FERMT2,14
FGFBP2,FGFBP2,14
FGFRL1,FGFRL1,14
FNDC4,FNDC4,14
FNIP2,FNIP2,14
FOXN3,FOXN3,14
FOXO1,FOXO1,14
FZD4,FZD4,14
G0S2,G0S2,14
GAB2,GAB2,14
GABARAPL1,GABARAPL1,14
GALNT15,GALNT15,14
GBE1,GBE1,14
GCDH,GCDH,14
GHR,GHR,14
GLUL,GLUL,14
GMCL1,GMCL1,14
GNG2,GNG2,14
GPAM,GPAM,14
GPAT3,GPAT3,14
GPATCH11,GPATCH11,14
GPD1,GPD1,14
GPD1L,GPD1L,14
GPHN,GPHN,14
GPIHBP1,GPIHBP1,14
GPR153,GPR153,14
GPR34,GPR34,14
GPT,GPT,14
GPT2,GPT2,14
GPX3,GPX3,14
GPX4,GPX4,14
GRK3,GRK3,14
GRK5,GRK5,14
GYG2,GYG2,14
GYPC,GYPC,14
GYS1,GYS1,14
HACD2,HACD2,14
HADH,HADH,14
HBA2,HBA2,14
HBB,HBB,14
HBEGF,HBEGF,14
HEBP2,HEBP2,14
HIBADH,HIBADH,14
HLA-DMA,HLA-DMA,14
HSD17B11,HSD17B11,14
HSDL2,HSDL2,14
HSP90AB1,HSP90AB1,14
HSPA1A,HSPA1A,14
HSPA1B,HSPA1B,14
HSPB6,HSPB6,14
HSPB7,HSPB7,14
IDH1,IDH1,14
IGFBP3,IGFBP3,14
IL15RA,IL15RA,14
IRS2,IRS2,14
ITGA7,ITGA7,14
ITGB1BP1,ITGB1BP1,14
KANK2,KANK2,14
KAT2B,KAT2B,14
KCNIP2,KCNIP2,14
KDR,KDR,14
KLF15,KLF15,14
KLHDC8B,KLHDC8B,14
LAMA2,LAMA2,14
LAMC1,LAMC1,14
LARP6,LARP6,14
LDB2,LDB2,14
LDHB,LDHB,14
LDHD,LDHD,14
LGALS1,LGALS1,14
LGALS12,LGALS12,14
LGALS3,LGALS3,14
LIFR,LIFR,14
LIPE,LIPE,14
LIX1L,LIX1L,14
LMCD1,LMCD1,14
LPIN1,LPIN1,14
LPL,LPL,14
LRP1,LRP1,14
LSM6,LSM6,14
LSS,LSS,14
MAN1A1,MAN1A1,14
MAOA,MAOA,14
MAP3K5,MAP3K5,14
MAPK11,MAPK11,14
MCAM,MCAM,14
MDFIC,MDFIC,14
MDH1,MDH1,14
MEOX2,MEOX2,14
METTL7A,METTL7A,14
MGLL,MGLL,14
MKNK2,MKNK2,14
MLX,MLX,14
MLXIPL,MLXIPL,14
MMD,MMD,14
MOCS1,MOCS1,14
MPC1,MPC1,14
MPDZ,MPDZ,14
MPST,MPST,14
MRAS,MRAS,14
MRPS36,MRPS36,14
MT-ATP6,MT-ATP6,14
MT-ATP8,MT-ATP8,14
MT-CO1,MT-CO1,14
MT-CO2,MT-CO2,14
MT-CO3,MT-CO3,14
MT-CYB,MT-CYB,14
MT-ND1,MT-ND1,14
MT-ND2,MT-ND2,14
MT-ND3,MT-ND3,14
MT-ND4,MT-ND4,14
MT-ND4L,MT-ND4L,14
MT-ND5,MT-ND5,14
MT-ND6,MT-ND6,14
MTARC2,MTARC2,14
MTHFD1,MTHFD1,14
MYCBP2,MYCBP2,14
MYCT1,MYCT1,14
MYO1C,MYO1C,14
NAT8L,NAT8L,14
NDN,NDN,14
NDUFB5,NDUFB5,14
NDUFS4,NDUFS4,14
NFU1,NFU1,14
NMB,NMB,14
NMT2,NMT2,14
NNAT,NNAT,14
NPR1,NPR1,14
NR1H3,NR1H3,14
NRN1,NRN1,14
OLFM2,OLFM2,14
OPTN,OPTN,14
ORMDL3,ORMDL3,14
OXCT1,OXCT1,14
PALM,PALM,14
PC,PC,14
PCCA,PCCA,14
PCDH18,PCDH18,14
PCK1,PCK1,14
PCK2,PCK2,14
PCOLCE2,PCOLCE2,14
PCYT2,PCYT2,14
PDE2A,PDE2A,14
PDE8A,PDE8A,14
PDHA1,PDHA1,14
PDK2,PDK2,14
PDK4,PDK4,14
PECR,PECR,14
PEX19,PEX19,14
PEX6,PEX6,14
PFKFB3,PFKFB3,14
PGD,PGD,14
PGM1,PGM1,14
PHLDA3,PHLDA3,14
PHLDB2,PHLDB2,14
PHYH,PHYH,14
PID1,PID1,14
PIEZO1,PIEZO1,14
PIP4P2,PIP4P2,14
PJA1,PJA1,14
PKDCC,PKDCC,14
PLA2G2A,PLA2G2A,14
PLAAT3,PLAAT3,14
PLEKHO1,PLEKHO1,14
PLIN1,PLIN1,14
PLIN2,PLIN2,14
PLIN4,PLIN4,14
PLPP3,PLPP3,14
PLSCR4,PLSCR4,14
PMM1,PMM1,14
PNPLA2,PNPLA2,14
POLR3GL,POLR3GL,14
PPARG,PPARG,14
PPP1R1A,PPP1R1A,14
PPP3R1,PPP3R1,14
PRDX6,PRDX6,14
PRELP,PRELP,14
PRKAR2B,PRKAR2B,14
PRXL2A,PRXL2A,14
PSMA7,PSMA7,14
PSMC4,PSMC4,14
PTEN,PTEN,14
PTPRG,PTPRG,14
PTPRM,PTPRM,14
PTX3,PTX3,14
QKI,QKI,14
RAI2,RAI2,14
RAMP2,RAMP2,14
RARRES2,RARRES2,14
RASL10B,RASL10B,14
RASSF4,RASSF4,14
RBP4,RBP4,14
RBP7,RBP7,14
RCL1,RCL1,14
RETREG1,RETREG1,14
RETSAT,RETSAT,14
RFTN1,RFTN1,14
RGS3,RGS3,14
RHOB,RHOB,14
RHOBTB3,RHOBTB3,14
RIDA,RIDA,14
RNF125,RNF125,14
ROBO4,ROBO4,14
RPL11,RPL11,14
RPLP2,RPLP2,14
RPS20,RPS20,14
RPS26,RPS26,14
RRAGC,RRAGC,14
RRAGD,RRAGD,14
RRAS,RRAS,14
RRP36,RRP36,14
RTN3,RTN3,14
RXRA,RXRA,14
S100B,S100B,14
SCD,SCD,14
SCRN2,SCRN2,14
SDHB,SDHB,14
SEC11A,SEC11A,14
SEMA3G,SEMA3G,14
SEMA4D,SEMA4D,14
SERPINF1,SERPINF1,14
SH3KBP1,SH3KBP1,14
SHMT1,SHMT1,14
SIK2,SIK2,14
SLC19A3,SLC19A3,14
SLC1A3,SLC1A3,14
SLC25A1,SLC25A1,14
SLC25A16,SLC25A16,14
SLC66A2,SLC66A2,14
SMIM3,SMIM3,14
SNX3,SNX3,14
SORBS1,SORBS1,14
SPINT2,SPINT2,14
SPON1,SPON1,14
SPTBN1,SPTBN1,14
SRPX,SRPX,14
STAT5A,STAT5A,14
STEAP1,STEAP1,14
STX12,STX12,14
STX7,STX7,14
SUCLA2,SUCLA2,14
SUCLG1,SUCLG1,14
SUN2,SUN2,14
TACC1,TACC1,14
TARS3,TARS3,14
TBC1D2B,TBC1D2B,14
TEAD1,TEAD1,14
TEK,TEK,14
TFE3,TFE3,14
THRA,THRA,14
THYN1,THYN1,14
TIMM50,TIMM50,14
TIMP4,TIMP4,14
TKT,TKT,14
TLN2,TLN2,14
TM7SF2,TM7SF2,14
TMBIM1,TMBIM1,14
TMEM100,TMEM100,14
TMEM120A,TMEM120A,14
TMEM126A,TMEM126A,14
TMEM132C,TMEM132C,14
TMEM140,TMEM140,14
TMEM256,TMEM256,14
TMEM37,TMEM37,14
TMEM88,TMEM88,14
TMTC1,TMTC1,14
TNFAIP8,TNFAIP8,14
TNIP1,TNIP1,14
TNS2,TNS2,14
TOB2,TOB2,14
TRARG1,TRARG1,14
TSC22D3,TSC22D3,14
TSPAN3,TSPAN3,14
TTC38,TTC38,14
TWIST1,TWIST1,14
TWIST2,TWIST2,14
TXNIP,TXNIP,14
UQCRH,UQCRH,14
USP30,USP30,14
UVRAG,UVRAG,14
VAMP5,VAMP5,14
VEGFB,VEGFB,14
VEGFD,VEGFD,14
VIM,VIM,14
VKORC1L1,VKORC1L1,14
VSTM4,VSTM4,14
VTI1B,VTI1B,14
VWF,VWF,14
YIF1B,YIF1B,14
ZBED3,ZBED3,14
ZBTB16,ZBTB16,14
ZDHHC18,ZDHHC18,14
ZFAND5,ZFAND5,14
