id,label,community
AARS1,AARS1,7
ACTB,ACTB,7
ACVR1,ACVR1,7
ADAM12,ADAM12,7
ADAM8,ADAM8,7
ADAMTS12,ADAMTS12,7
ADAMTS2,ADAMTS2,7
ADM,ADM,7
AEBP1,AEBP1,7
AGL,AGL,7
AIG1,AIG1,7
AKR1C1,AKR1C1,7
AKT3,AKT3,7
ALDH1B1,ALDH1B1,7
ALOX5AP,ALOX5AP,7
ANKH,ANKH,7
ANTXR1,ANTXR1,7
ANXA5,ANXA5,7
APLN,APLN,7
ARF6,ARF6,7
ARPC2,ARPC2,7
ASH2L,ASH2L,7
ASPN,ASPN,7
ATG5,ATG5,7
ATP13A3,ATP13A3,7
ATPSCKMT,ATPSCKMT,7
AXL,AXL,7
B3GNT9,B3GNT9,7
BAG4,BAG4,7
BGN,BGN,7
BRI3,BRI3,7
C11orf24,C11orf24,7
C11orf80,C11orf80,7
C1QTNF3,C1QTNF3,7
C1QTNF6,C1QTNF6,7
C2orf69,C2orf69,7
C5AR1,C5AR1,7
C5orf38,C5orf38,7
C6orf141,C6orf141,7
CADM1,CADM1,7
CALD1,CALD1,7
CAMK2N1,CAMK2N1,7
CARM1,CARM1,7
CASP14,CASP14,7
CCDC127,CCDC127,7
CCN4,CCN4,7
CCR1,CCR1,7
CD24,CD24,7
CD276,CD276,7
CD300A,CD300A,7
CD44,CD44,7
CD55,CD55,7
CDH11,CDH11,7
CEMIP,CEMIP,7
CEMIP2,CEMIP2,7
CERCAM,CERCAM,7
CHST11,CHST11,7
CILP,CILP,7
CILP2,CILP2,7
CLEC2B,CLEC2B,7
CLIC4,CLIC4,7
CLPTM1L,CLPTM1L,7
CMTM3,CMTM3,7
COL10A1,COL10A1,7
COL11A1,COL11A1,7
COL12A1,COL12A1,7
COL15A1,COL15A1,7
COL1A1,COL1A1,7
COL1A2,COL1A2,7
COL3A1,COL3A1,7
COL4A1,COL4A1,7
COL5A1,COL5A1,7
COL5A2,COL5A2,7
COL5A3,COL5A3,7
COL6A1,COL6A1,7
COL6A2,COL6A2,7
COL6A3,COL6A3,7
COL8A1,COL8A1,7
COL8A2,COL8A2,7
COLGALT1,COLGALT1,7
COMP,COMP,7
COPS8,COPS8,7
CORO1C,CORO1C,7
CRABP1,CRABP1,7
CRISP3,CRISP3,7
CSGALNACT2,CSGALNACT2,7
CSTB,CSTB,7
CTHRC1,CTHRC1,7
CTSB,CTSB,7
CTSK,CTSK,7
CTSL,CTSL,7
CYTH3,CYTH3,7
DAB2,DAB2,7
DACT1,DACT1,7
DDHD2,DDHD2,7
DNAJC10,DNAJC10,7
DPY19L1,DPY19L1,7
DPYSL3,DPYSL3,7
DYNLT3,DYNLT3,7
EDIL3,EDIL3,7
EDNRA,EDNRA,7
EFEMP2,EFEMP2,7
EGLN3,EGLN3,7
EIF4EBP1,EIF4EBP1,7
EMP3,EMP3,7
ENO1,ENO1,7
ENO2,ENO2,7
ENPP1,ENPP1,7
EPRS1,EPRS1,7
EPYC,EPYC,7
ERLIN2,ERLIN2,7
ERO1A,ERO1A,7
F13A1,F13A1,7
F2R,F2R,7
FAF2,FAF2,7
FAM177A1,FAM177A1,7
FAM220A,FAM220A,7
FAM229B,FAM229B,7
FAP,FAP,7
FBN1,FBN1,7
FBXL7,FBXL7,7
FBXO45,FBXO45,7
FCGR2A,FCGR2A,7
FCGR3A,FCGR3A,7
FCHSD2,FCHSD2,7
FDX1,FDX1,7
FHL3,FHL3,7
FIBIN,FIBIN,7
FKBP9,FKBP9,7
FLT1,FLT1,7
FN1,FN1,7
FNDC1,FNDC1,7
FNDC3B,FNDC3B,7
FPR3,FPR3,7
