id,label,community
AARS1,AARS1,13
AASDHPPT,AASDHPPT,13
ACTB,ACTB,13
ACVR1,ACVR1,13
ADAM12,ADAM12,13
ADAM8,ADAM8,13
ADAMTS12,ADAMTS12,13
ADAMTS2,ADAMTS2,13
ADM,ADM,13
AEBP1,AEBP1,13
AGFG1,AGFG1,13
AGL,AGL,13
AIG1,AIG1,13
AKR1C1,AKR1C1,13
AKT3,AKT3,13
ALDH1B1,ALDH1B1,13
ALOX5AP,ALOX5AP,13
ANKH,ANKH,13
ANTXR1,ANTXR1,13
ANXA5,ANXA5,13
APLN,APLN,13
ARF6,ARF6,13
ARPC2,ARPC2,13
ASH2L,ASH2L,13
ASPN,ASPN,13
ATF2,ATF2,13
ATG5,ATG5,13
ATP13A3,ATP13A3,13
ATPSCKMT,ATPSCKMT,13
AXL,AXL,13
B3GNT9,B3GNT9,13
BAG4,BAG4,13
BGN,BGN,13
BPNT2,BPNT2,13
BRI3,BRI3,13
C11orf24,C11orf24,13
C1QTNF3,C1QTNF3,13
C1QTNF6,C1QTNF6,13
C2orf69,C2orf69,13
C5AR1,C5AR1,13
C5orf38,C5orf38,13
C6orf141,C6orf141,13
CADM1,CADM1,13
CALD1,CALD1,13
CAMK2N1,CAMK2N1,13
CARM1,CARM1,13
CASP14,CASP14,13
CCDC127,CCDC127,13
CCN4,CCN4,13
CCR1,CCR1,13
CD24,CD24,13
CD276,CD276,13
CD300A,CD300A,13
CD55,CD55,13
CDH11,CDH11,13
CEMIP,CEMIP,13
CEMIP2,CEMIP2,13
CERCAM,CERCAM,13
CHST11,CHST11,13
CILP,CILP,13
CILP2,CILP2,13
CLEC2B,CLEC2B,13
CLIC4,CLIC4,13
CLPTM1L,CLPTM1L,13
CMTM3,CMTM3,13
COL10A1,COL10A1,13
COL11A1,COL11A1,13
COL12A1,COL12A1,13
COL15A1,COL15A1,13
COL1A1,COL1A1,13
COL1A2,COL1A2,13
COL3A1,COL3A1,13
COL4A1,COL4A1,13
COL5A1,COL5A1,13
COL5A2,COL5A2,13
COL5A3,COL5A3,13
COL6A1,COL6A1,13
COL6A2,COL6A2,13
COL6A3,COL6A3,13
COL8A1,COL8A1,13
COL8A2,COL8A2,13
COLGALT1,COLGALT1,13
COMP,COMP,13
COPS8,COPS8,13
CORO1C,CORO1C,13
CRABP1,CRABP1,13
CRISP3,CRISP3,13
CSGALNACT2,CSGALNACT2,13
CSTB,CSTB,13
CTHRC1,CTHRC1,13
CTSB,CTSB,13
CTSK,CTSK,13
CTSL,CTSL,13
CYTH3,CYTH3,13
DAB2,DAB2,13
DACT1,DACT1,13
DAP,DAP,13
DDHD2,DDHD2,13
DESI1,DESI1,13
DNAJC10,DNAJC10,13
DPY19L1,DPY19L1,13
DPYSL3,DPYSL3,13
DYNLT3,DYNLT3,13
EDIL3,EDIL3,13
EDNRA,EDNRA,13
EFEMP2,EFEMP2,13
EGLN3,EGLN3,13
EIF2S2,EIF2S2,13
EIF4EBP1,EIF4EBP1,13
EMP3,EMP3,13
ENO1,ENO1,13
ENO2,ENO2,13
ENPP1,ENPP1,13
EPRS1,EPRS1,13
EPYC,EPYC,13
ERLIN2,ERLIN2,13
ERO1A,ERO1A,13
F13A1,F13A1,13
F2R,F2R,13
FAM177A1,FAM177A1,13
FAP,FAP,13
FBN1,FBN1,13
FBXL7,FBXL7,13
FCGR2A,FCGR2A,13
FCGR3A,FCGR3A,13
FCHSD2,FCHSD2,13
FDX1,FDX1,13
FHL3,FHL3,13
FIBIN,FIBIN,13
FKBP9,FKBP9,13
FLT1,FLT1,13
FN1,FN1,13
