id,label,community
ACER3,ACER3,4
ACTG1,ACTG1,4
ADAM15,ADAM15,4
ADAR,ADAR,4
ADIPOR1,ADIPOR1,4
AK2,AK2,4
AK4,AK4,4
AKIRIN1,AKIRIN1,4
ALAS1,ALAS1,4
AOX1,AOX1,4
AP1B1,AP1B1,4
AP1S2,AP1S2,4
AP2B1,AP2B1,4
AP3D1,AP3D1,4
APH1A,APH1A,4
APOC1,APOC1,4
APOL1,APOL1,4
AQP5,AQP5,4
ARHGDIA,ARHGDIA,4
ARHGDIB,ARHGDIB,4
ASPH,ASPH,4
ATP5PB,ATP5PB,4
B2M,B2M,4
BCL9,BCL9,4
BCR,BCR,4
BID,BID,4
BLNK,BLNK,4
BSDC1,BSDC1,4
BST2,BST2,4
C1QB,C1QB,4
C1orf216,C1orf216,4
C3orf14,C3orf14,4
CA8,CA8,4
CADPS2,CADPS2,4
CANT1,CANT1,4
CAP1,CAP1,4
CASC3,CASC3,4
CASP6,CASP6,4
CCT3,CCT3,4
CDC6,CDC6,4
CDCP1,CDCP1,4
CDK2AP1,CDK2AP1,4
CISD3,CISD3,4
CISH,CISH,4
CLDN1,CLDN1,4
CNDP2,CNDP2,4
CNIH1,CNIH1,4
COPA,COPA,4
COPG1,COPG1,4
CORO2A,CORO2A,4
CP,CP,4
CPT1A,CPT1A,4
CPVL,CPVL,4
CRABP2,CRABP2,4
CREB3L4,CREB3L4,4
CSF3R,CSF3R,4
CSRNP2,CSRNP2,4
CSTF3,CSTF3,4
CTPS2,CTPS2,4
CTSD,CTSD,4
CWC25,CWC25,4
CYB561,CYB561,4
CYFIP1,CYFIP1,4
CYP4Z1,CYP4Z1,4
DDIT4,DDIT4,4
DDX52,DDX52,4
DEDD,DEDD,4
DENND2D,DENND2D,4
DHX58,DHX58,4
DNAAF5,DNAAF5,4
DNALI1,DNALI1,4
DOP1B,DOP1B,4
DPAGT1,DPAGT1,4
DPH2,DPH2,4
DPP3,DPP3,4
DRAM2,DRAM2,4
DUSP14,DUSP14,4
EBNA1BP2,EBNA1BP2,4
EDN2,EDN2,4
EHD4,EHD4,4
EHF,EHF,4
EIF2B3,EIF2B3,4
EIF2D,EIF2D,4
EIF3I,EIF3I,4
ELF3,ELF3,4
ELMO2,ELMO2,4
ELOVL1,ELOVL1,4
EMB,EMB,4
ENTPD6,ENTPD6,4
EPHA1,EPHA1,4
EPHB3,EPHB3,4
EPN3,EPN3,4
EPOP,EPOP,4
ERAL1,ERAL1,4
ERBB2,ERBB2,4
ETNK2,ETNK2,4
F11R,F11R,4
FAM189B,FAM189B,4
FAM222B,FAM222B,4
FAT1,FAT1,4
FBXL20,FBXL20,4
FEN1,FEN1,4
FHOD1,FHOD1,4
FLAD1,FLAD1,4
FLOT2,FLOT2,4
FOXK2,FOXK2,4
FRMD8,FRMD8,4
FTSJ3,FTSJ3,4
GBP2,GBP2,4
GGNBP2,GGNBP2,4
GIT1,GIT1,4
GMDS,GMDS,4
GMEB1,GMEB1,4
GOLM1,GOLM1,4
GPATCH4,GPATCH4,4
GPRC5C,GPRC5C,4
GRB7,GRB7,4
GSTCD,GSTCD,4
GYG1,GYG1,4
HAX1,HAX1,4
HDAC1,HDAC1,4
HDGF,HDGF,4
HDLBP,HDLBP,4
HECTD3,HECTD3,4
HERC6,HERC6,4
HLA-A,HLA-A,4
HLA-B,HLA-B,4
HLA-DQA2,HLA-DQA2,4
HLA-DQB2,HLA-DQB2,4
HLA-F,HLA-F,4
HNRNPF,HNRNPF,4
HPX,HPX,4
ICAM1,ICAM1,4
ID2,ID2,4
IDH2,IDH2,4
IFI16,IFI16,4
IFITM3,IFITM3,4
IFT20,IFT20,4
IGSF9,IGSF9,4
IL6R,IL6R,4
IPO9,IPO9,4
IRF1,IRF1,4
ISG15,ISG15,4
ISG20L2,ISG20L2,4
ITGB6,ITGB6,4
JPT1,JPT1,4
KDM5B,KDM5B,4
KIAA0100,KIAA0100,4
KLHL12,KLHL12,4
KRT10,KRT10,4
KRT19,KRT19,4
KRT23,KRT23,4
KRT8,KRT8,4
KTN1,KTN1,4
LAD1,LAD1,4
LASP1,LASP1,4
LGALS3BP,LGALS3BP,4
LGALS9,LGALS9,4
LIG3,LIG3,4
LMNB2,LMNB2,4
LMO4,LMO4,4
LRG1,LRG1,4
LRRC41,LRRC41,4
LRRC59,LRRC59,4
LTF,LTF,4
MAP2K3,MAP2K3,4
MAPKAPK3,MAPKAPK3,4
MARCKSL1,MARCKSL1,4
MCM3AP,MCM3AP,4
MCUB,MCUB,4
MDM4,MDM4,4
MED24,MED24,4
MED8,MED8,4
METTL2A,METTL2A,4
MFSD2A,MFSD2A,4
MGAT4A,MGAT4A,4
MLLT6,MLLT6,4
MME,MME,4
MOV10,MOV10,4
MPHOSPH6,MPHOSPH6,4
MRPL45,MRPL45,4
MRPS15,MRPS15,4
MRPS23,MRPS23,4
MSL1,MSL1,4
MST1R,MST1R,4
MSTO1,MSTO1,4
MUC1,MUC1,4
MX1,MX1,4
MYCBP,MYCBP,4
MYO18A,MYO18A,4
MYORG,MYORG,4
NAGA,NAGA,4
NANOS1,NANOS1,4
NARF,NARF,4
NCSTN,NCSTN,4
NDUFS2,NDUFS2,4
NECTIN1,NECTIN1,4
NECTIN4,NECTIN4,4
NIPSNAP1,NIPSNAP1,4
NLE1,NLE1,4
NME1,NME1,4
NUFIP2,NUFIP2,4
OAS1,OAS1,4
OAT,OAT,4
OBP2B,OBP2B,4
OSBPL5,OSBPL5,4
P4HB,P4HB,4
PABPC4,PABPC4,4
PARP9,PARP9,4
PCGF2,PCGF2,4
PCNX3,PCNX3,4
PDE4B,PDE4B,4
PDIA3,PDIA3,4
PDXK,PDXK,4
PEF1,PEF1,4
PEX12,PEX12,4
PGAP3,PGAP3,4
PGAP6,PGAP6,4
PHF12,PHF12,4
PHLDA2,PHLDA2,4
PIGM,PIGM,4
PIGS,PIGS,4
PIGW,PIGW,4
PIK3R3,PIK3R3,4
PIP4K2B,PIP4K2B,4
PITX1,PITX1,4
PLAAT4,PLAAT4,4
PLEKHA6,PLEKHA6,4
PLXNA3,PLXNA3,4
PLXNB2,PLXNB2,4
PODXL2,PODXL2,4
POGK,POGK,4
POLDIP2,POLDIP2,4
PPFIBP2,PPFIBP2,4
PPIL2,PPIL2,4
PPP1R15B,PPP1R15B,4
PPP1R1B,PPP1R1B,4
PROM1,PROM1,4
PRRT3,PRRT3,4
PSMA4,PSMA4,4
PSMA5,PSMA5,4
PSMB3,PSMB3,4
PSMB8,PSMB8,4
PSMB9,PSMB9,4
PTPRF,PTPRF,4
PTRH2,PTRH2,4
PYCR1,PYCR1,4
PYGB,PYGB,4
RAB20,RAB20,4
RAB29,RAB29,4
RAB34,RAB34,4
RABIF,RABIF,4
RAN,RAN,4
RAPGEFL1,RAPGEFL1,4
RARA,RARA,4
RASD2,RASD2,4
RBBP4,RBBP4,4
RBBP5,RBBP5,4
RBM15B,RBM15B,4
RCC1,RCC1,4
RCN2,RCN2,4
RFX5,RFX5,4
RND1,RND1,4
RNF213,RNF213,4
RPL19,RPL19,4
RPL22L1,RPL22L1,4
RPL23,RPL23,4
RPL23A,RPL23A,4
RPS27,RPS27,4
RUSC1,RUSC1,4
S100A16,S100A16,4
S100A9,S100A9,4
SCGB2A2,SCGB2A2,4
SDF2,SDF2,4
SDHC,SDHC,4
SEC11C,SEC11C,4
SEPTIN8,SEPTIN8,4
SEPTIN9,SEPTIN9,4
SERINC2,SERINC2,4
SF3B4,SF3B4,4
SKA2,SKA2,4
SLC18B1,SLC18B1,4
SLC34A2,SLC34A2,4
SLC35A1,SLC35A1,4
SLC35B1,SLC35B1,4
SLC39A11,SLC39A11,4
SLC41A1,SLC41A1,4
SLC44A4,SLC44A4,4
SLC50A1,SLC50A1,4
SLC5A1,SLC5A1,4
SLC6A9,SLC6A9,4
SLFN11,SLFN11,4
SLFN5,SLFN5,4
SMAP2,SMAP2,4
SMARCD2,SMARCD2,4
SMG5,SMG5,4
SND1,SND1,4
SNRPE,SNRPE,4
SNRPG,SNRPG,4
SOCS7,SOCS7,4
SOWAHA,SOWAHA,4
SOX13,SOX13,4
SOX9,SOX9,4
SPAG5,SPAG5,4
SPTLC2,SPTLC2,4
SQOR,SQOR,4
SRCIN1,SRCIN1,4
SREBF1,SREBF1,4
SRP68,SRP68,4
SSR2,SSR2,4
ST3GAL1,ST3GAL1,4
ST6GAL1,ST6GAL1,4
STARD3,STARD3,4
SUPT6H,SUPT6H,4
SYNRG,SYNRG,4
SYT12,SYT12,4
TACO1,TACO1,4
TADA1,TADA1,4
TAF12,TAF12,4
TAF15,TAF15,4
TAP1,TAP1,4
TARS2,TARS2,4
TDRKH,TDRKH,4
TFAP2B,TFAP2B,4
TFDP1,TFDP1,4
TIMM17A,TIMM17A,4
TLCD1,TLCD1,4
TLE1,TLE1,4
TMC6,TMC6,4
TMCO1,TMCO1,4
TMCO3,TMCO3,4
TMEM11,TMEM11,4
TMEM132A,TMEM132A,4
TMEM159,TMEM159,4
TMEM183A,TMEM183A,4
TMEM229B,TMEM229B,4
TMEM69,TMEM69,4
TMEM79,TMEM79,4
TMEM86A,TMEM86A,4
TMEM94,TMEM94,4
TMEM97,TMEM97,4
TMPRSS13,TMPRSS13,4
TNFAIP1,TNFAIP1,4
TNFRSF21,TNFRSF21,4
TOM1L1,TOM1L1,4
TOMM40L,TOMM40L,4
TOP2A,TOP2A,4
TPD52L1,TPD52L1,4
TPGS2,TPGS2,4
TPM3,TPM3,4
TRAF4,TRAF4,4
TRIB2,TRIB2,4
TRIB3,TRIB3,4
TRIM14,TRIM14,4
TSKU,TSKU,4
TSPAN17,TSPAN17,4
TTC9,TTC9,4
TUBB,TUBB,4
TUBG1,TUBG1,4
TXLNA,TXLNA,4
TYMP,TYMP,4
UAP1,UAP1,4
UBAP2L,UBAP2L,4
UBE2L6,UBE2L6,4
UBE2Q1,UBE2Q1,4
UCP2,UCP2,4
UNC119,UNC119,4
USP18,USP18,4
USP22,USP22,4
UTP18,UTP18,4
UTP20,UTP20,4
VDAC1,VDAC1,4
VOPP1,VOPP1,4
WFS1,WFS1,4
WIPF2,WIPF2,4
YARS1,YARS1,4
YBX1,YBX1,4
YPEL2,YPEL2,4
YRDC,YRDC,4
YTHDF2,YTHDF2,4
ZBED4,ZBED4,4
ZBTB7C,ZBTB7C,4
ZMPSTE24,ZMPSTE24,4
ZNF687,ZNF687,4
ZNF830,ZNF830,4
ZNHIT3,ZNHIT3,4
