id,label,community
ABHD14B,ABHD14B,13
ABT1,ABT1,13
AC007906.2,AC007906.2,13
ACBD4,ACBD4,13
ACOT13,ACOT13,13
ADA2,ADA2,13
ADAR,ADAR,13
ADCK5,ADCK5,13
ADCY8,ADCY8,13
ADGRG2,ADGRG2,13
AGPAT1,AGPAT1,13
AHNAK,AHNAK,13
AHNAK2,AHNAK2,13
AIFM1,AIFM1,13
ALDH5A1,ALDH5A1,13
ALG1,ALG1,13
ANGEL2,ANGEL2,13
ANXA2,ANXA2,13
ANXA9,ANXA9,13
APBB3,APBB3,13
APEH,APEH,13
APH1A,APH1A,13
APOBEC3C,APOBEC3C,13
AQP3,AQP3,13
AQP9,AQP9,13
ARHGAP26,ARHGAP26,13
ARIH1,ARIH1,13
ARL4D,ARL4D,13
ATF6B,ATF6B,13
ATG16L1,ATG16L1,13
ATG2A,ATG2A,13
ATIC,ATIC,13
ATP5F1A,ATP5F1A,13
B3GALT4,B3GALT4,13
BANF1,BANF1,13
BCKDHB,BCKDHB,13
BCL2L2,BCL2L2,13
BCL6,BCL6,13
BCS1L,BCS1L,13
BEX2,BEX2,13
BOP1,BOP1,13
BTBD2,BTBD2,13
BTN3A1,BTN3A1,13
C11orf54,C11orf54,13
C11orf68,C11orf68,13
C11orf71,C11orf71,13
C11orf80,C11orf80,13
C11orf95,C11orf95,13
C1orf116,C1orf116,13
C1orf56,C1orf56,13
C4B,C4B,13
C6orf226,C6orf226,13
C6orf62,C6orf62,13
C8orf33,C8orf33,13
C8orf82,C8orf82,13
CANX,CANX,13
CAPN1,CAPN1,13
CAPN2,CAPN2,13
CARNMT1,CARNMT1,13
CASP4,CASP4,13
CBX6,CBX6,13
CCDC6,CCDC6,13
CCNDBP1,CCNDBP1,13
CD9,CD9,13
CEP20,CEP20,13
CES2,CES2,13
CFAP36,CFAP36,13
CFL1,CFL1,13
CHCHD7,CHCHD7,13
CHD7,CHD7,13
CLIC1,CLIC1,13
CMTR1,CMTR1,13
CNNM3,CNNM3,13
COL12A1,COL12A1,13
COL23A1,COL23A1,13
COMMD5,COMMD5,13
COPS7A,COPS7A,13
CORO1B,CORO1B,13
CPSF1,CPSF1,13
CTTN,CTTN,13
CUL5,CUL5,13
CUL7,CUL7,13
CWF19L2,CWF19L2,13
CXCL11,CXCL11,13
CYC1,CYC1,13
CYHR1,CYHR1,13
CYP4B1,CYP4B1,13
DCAF16,DCAF16,13
DDB1,DDB1,13
DDHD2,DDHD2,13
DDX10,DDX10,13
DDX21,DDX21,13
DDX58,DDX58,13
DENND2B,DENND2B,13
DERL1,DERL1,13
DGAT1,DGAT1,13
DHRS1,DHRS1,13
DIAPH1,DIAPH1,13
DNAJC30,DNAJC30,13
DOCK9,DOCK9,13
DSC3,DSC3,13
DTX3L,DTX3L,13
DTX4,DTX4,13
EEF1D,EEF1D,13
EEF2,EEF2,13
EIF1,EIF1,13
EIF1AD,EIF1AD,13
EIF3B,EIF3B,13
EIF3C,EIF3C,13
EIF3H,EIF3H,13
EMB,EMB,13
EMC9,EMC9,13
EMD,EMD,13
EML3,EML3,13
ENDOD1,ENDOD1,13
EPB41L1,EPB41L1,13
EPRS1,EPRS1,13
ERLIN2,ERLIN2,13
ESRRA,ESRRA,13
EXOSC4,EXOSC4,13
EXT1,EXT1,13
FAAH,FAAH,13
FAM210B,FAM210B,13
FAM83H,FAM83H,13
FAM8A1,FAM8A1,13
FBXL6,FBXL6,13
FBXO32,FBXO32,13
FKBP4,FKBP4,13
FOXJ2,FOXJ2,13
FOXN2,FOXN2,13
FOXRED1,FOXRED1,13
FRMD4B,FRMD4B,13
FZD4,FZD4,13
GAB2,GAB2,13
GAPDH,GAPDH,13
GATD1,GATD1,13
GEMIN8,GEMIN8,13
GFUS,GFUS,13
GHITM,GHITM,13
GLB1L2,GLB1L2,13
GLI4,GLI4,13
GMDS,GMDS,13
GMPR,GMPR,13
GNG5,GNG5,13
GOLGA8A,GOLGA8A,13
GPAA1,GPAA1,13
GRAMD2A,GRAMD2A,13
GRINA,GRINA,13
GSDMD,GSDMD,13
HDAC11,HDAC11,13
HDLBP,HDLBP,13
HEBP1,HEBP1,13
HELZ2,HELZ2,13
HERC6,HERC6,13
HGH1,HGH1,13
HIBCH,HIBCH,13
HMBS,HMBS,13
