id,label,community
ACER3,ACER3,7
ACTG1,ACTG1,7
ADAM15,ADAM15,7
ADAR,ADAR,7
ADIPOR1,ADIPOR1,7
AK2,AK2,7
AK4,AK4,7
AKIRIN1,AKIRIN1,7
ALAS1,ALAS1,7
AOX1,AOX1,7
AP1B1,AP1B1,7
AP1S2,AP1S2,7
AP2B1,AP2B1,7
APH1A,APH1A,7
APOC1,APOC1,7
APOL1,APOL1,7
AQP5,AQP5,7
ARHGDIA,ARHGDIA,7
ARHGDIB,ARHGDIB,7
ASPH,ASPH,7
ATP5PB,ATP5PB,7
B2M,B2M,7
BCL9,BCL9,7
BID,BID,7
BLNK,BLNK,7
BSDC1,BSDC1,7
BST2,BST2,7
C1QB,C1QB,7
C1orf216,C1orf216,7
CADPS2,CADPS2,7
CANT1,CANT1,7
CAP1,CAP1,7
CASC3,CASC3,7
CASP6,CASP6,7
CCT3,CCT3,7
CDC6,CDC6,7
CDCP1,CDCP1,7
CDK2AP1,CDK2AP1,7
CISD3,CISD3,7
CISH,CISH,7
CLDN1,CLDN1,7
CNIH1,CNIH1,7
COPA,COPA,7
COPG1,COPG1,7
CORO2A,CORO2A,7
CP,CP,7
CPT1A,CPT1A,7
CPVL,CPVL,7
CRABP2,CRABP2,7
CREB3L4,CREB3L4,7
CSF3R,CSF3R,7
CSRNP2,CSRNP2,7
CSTF3,CSTF3,7
CTSD,CTSD,7
CWC25,CWC25,7
CYB561,CYB561,7
CYFIP1,CYFIP1,7
CYP4Z1,CYP4Z1,7
DDIT4,DDIT4,7
DDX52,DDX52,7
DEDD,DEDD,7
DENND2D,DENND2D,7
DHX58,DHX58,7
DNAAF5,DNAAF5,7
DNAJC22,DNAJC22,7
DNALI1,DNALI1,7
DOCK8,DOCK8,7
DOP1B,DOP1B,7
DPAGT1,DPAGT1,7
DPH2,DPH2,7
DPP3,DPP3,7
DRAM2,DRAM2,7
DUSP14,DUSP14,7
EBNA1BP2,EBNA1BP2,7
EDN2,EDN2,7
EIF2B3,EIF2B3,7
EIF2D,EIF2D,7
EIF3I,EIF3I,7
ELF3,ELF3,7
ELMO2,ELMO2,7
ELOVL1,ELOVL1,7
EMB,EMB,7
ENTPD6,ENTPD6,7
EPHB3,EPHB3,7
EPN3,EPN3,7
EPOP,EPOP,7
ERAL1,ERAL1,7
ERBB2,ERBB2,7
ETNK2,ETNK2,7
F11R,F11R,7
FAM189B,FAM189B,7
FAM222B,FAM222B,7
FAT1,FAT1,7
FBXL20,FBXL20,7
FHOD1,FHOD1,7
FLAD1,FLAD1,7
FLOT2,FLOT2,7
FOXK2,FOXK2,7
FRMD8,FRMD8,7
FTSJ3,FTSJ3,7
GBP2,GBP2,7
GGNBP2,GGNBP2,7
GIT1,GIT1,7
GLRX,GLRX,7
GMDS,GMDS,7
GMEB1,GMEB1,7
GOLM1,GOLM1,7
GPATCH4,GPATCH4,7
GRAMD4,GRAMD4,7
GRB7,GRB7,7
GSTCD,GSTCD,7
GYG1,GYG1,7
HAX1,HAX1,7
HDAC1,HDAC1,7
HDGF,HDGF,7
HDLBP,HDLBP,7
HECTD3,HECTD3,7
HERC6,HERC6,7
HLA-A,HLA-A,7
HLA-B,HLA-B,7
