id,label,community
AADAC,AADAC,11
ABHD14B,ABHD14B,11
AC007906.2,AC007906.2,11
ACAD10,ACAD10,11
ACAD8,ACAD8,11
ACBD4,ACBD4,11
ACOT13,ACOT13,11
ADA2,ADA2,11
ADAR,ADAR,11
ADCK5,ADCK5,11
ADCY8,ADCY8,11
ADGRG2,ADGRG2,11
AGPAT5,AGPAT5,11
AHNAK,AHNAK,11
AHNAK2,AHNAK2,11
AIDA,AIDA,11
AIFM1,AIFM1,11
AK2,AK2,11
ALDH3B2,ALDH3B2,11
ALDH5A1,ALDH5A1,11
ALG1,ALG1,11
AMMECR1,AMMECR1,11
ANGEL2,ANGEL2,11
ANKRD6,ANKRD6,11
ANXA2,ANXA2,11
ANXA9,ANXA9,11
APBB3,APBB3,11
APEH,APEH,11
APH1A,APH1A,11
APOBEC3C,APOBEC3C,11
AQP3,AQP3,11
AQP9,AQP9,11
ARHGAP26,ARHGAP26,11
ARIH1,ARIH1,11
ATF6B,ATF6B,11
ATG2A,ATG2A,11
ATP5F1A,ATP5F1A,11
B3GALT4,B3GALT4,11
BANF1,BANF1,11
BCAT2,BCAT2,11
BCKDHB,BCKDHB,11
BCL2L2,BCL2L2,11
BCL6,BCL6,11
BEX2,BEX2,11
BLVRB,BLVRB,11
BOP1,BOP1,11
BTBD2,BTBD2,11
BTN3A1,BTN3A1,11
C11orf54,C11orf54,11
C11orf68,C11orf68,11
C11orf80,C11orf80,11
C11orf95,C11orf95,11
C1orf116,C1orf116,11
C20orf204,C20orf204,11
C4B,C4B,11
C6orf62,C6orf62,11
C8orf33,C8orf33,11
C8orf82,C8orf82,11
CANX,CANX,11
CAPN1,CAPN1,11
CAPN2,CAPN2,11
CARNMT1,CARNMT1,11
CASP4,CASP4,11
CBX6,CBX6,11
CCDC146,CCDC146,11
CCDC51,CCDC51,11
CCDC6,CCDC6,11
CCNDBP1,CCNDBP1,11
CCNG1,CCNG1,11
CD9,CD9,11
CEP20,CEP20,11
CES2,CES2,11
CFAP36,CFAP36,11
CFL1,CFL1,11
CHCHD7,CHCHD7,11
CIRBP,CIRBP,11
CLIC1,CLIC1,11
CMTR1,CMTR1,11
CNNM3,CNNM3,11
COL12A1,COL12A1,11
COL23A1,COL23A1,11
COMMD5,COMMD5,11
COPS7A,COPS7A,11
CORO1B,CORO1B,11
CPSF1,CPSF1,11
CRTAC1,CRTAC1,11
CRYZ,CRYZ,11
CTTN,CTTN,11
CUL5,CUL5,11
CUL7,CUL7,11
CWF19L2,CWF19L2,11
CXCL11,CXCL11,11
CXXC5,CXXC5,11
CYC1,CYC1,11
CYHR1,CYHR1,11
CYP2S1,CYP2S1,11
CYP4B1,CYP4B1,11
