node_id,gene_name,community_id,degree,clustering
0,A2M,6,402.000000,0.513443
1,A4GALT,6,113.000000,0.396966
2,AAAS,8,409.000000,0.551141
3,AADAC,3,85.000000,0.303922
4,AAGAB,10,1161.000000,0.343087
5,AAK1,2,35.000000,0.243697
6,AAMDC,2,32.000000,0.330645
7,AAMP,5,177.000000,0.263803
8,AAR2,8,1526.000000,0.411120
9,AARS1,10,278.000000,0.362933
10,AARS2,0,1299.000000,0.456263
11,AASDHPPT,8,715.000000,0.404106
12,AATF,11,90.000000,0.273159
13,ABCA1,13,390.000000,0.427012
14,ABCA2,13,44.000000,0.200846
15,ABCA3,2,57.000000,0.379699
16,ABCB10,13,129.000000,0.300751
17,ABCB7,8,346.000000,0.434213
18,ABCB8,6,228.000000,0.335729
19,ABCC1,8,319.000000,0.478539
20,ABCC10,13,914.000000,0.358817
21,ABCC4,2,96.000000,0.364912
22,ABCC5,8,1176.000000,0.488121
23,ABCD1,6,513.000000,0.309180
24,ABCD3,0,1163.000000,0.443455
25,ABCD4,8,738.000000,0.583601
26,ABCE1,0,1032.000000,0.574493
27,ABCF1,0,1140.000000,0.536285
28,ABCF2,8,263.000000,0.490668
29,ABCF3,10,1051.000000,0.384555
30,ABCG1,13,122.000000,0.304701
31,ABHD10,1,75.000000,0.353514
32,ABHD11,13,50.000000,0.340408
33,ABHD12,0,155.000000,0.469460
34,ABHD14A,5,97.000000,0.254725
35,ABHD14B,4,80.000000,0.188924
36,ABHD17A,6,204.000000,0.305708
37,ABHD17B,10,575.000000,0.372459
38,ABHD17C,6,75.000000,0.273874
39,ABHD2,13,310.000000,0.261155
40,ABHD4,8,863.000000,0.446833
41,ABHD5,0,1077.000000,0.537689
42,ABHD8,6,631.000000,0.391457
43,ABI1,13,332.000000,0.311742
44,ABI3,13,220.000000,0.487049
45,ABI3BP,10,67.000000,0.284487
46,ABITRAM,8,836.000000,0.582981
47,ABL1,8,1353.000000,0.415019
48,ABLIM1,5,110.000000,0.386489
49,ABR,13,554.000000,0.355645
50,ABRACL,0,812.000000,0.529590
51,ABRAXAS2,6,473.000000,0.373078
52,ABT1,0,311.000000,0.419479
53,ABTB1,13,26.000000,0.163077
