community_id,num_nodes,num_edges,density
0,1569,451433,0.366990
1,273,10921,0.294145
2,278,5719,0.148534
3,32,223,0.449597
4,397,11684,0.148640
5,350,10776,0.176439
6,1236,111904,0.146619
7,145,3371,0.322893
8,1766,429445,0.275551
9,396,17517,0.223974
10,1266,113544,0.141798
11,73,1195,0.454718
12,184,5029,0.298705
13,811,51507,0.156816
